country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Finland,Western Europe,7.842,1.446,1.106,0.741,0.691,0.124,0.481
Denmark,Western Europe,7.62,1.502,1.108,0.763,0.686,0.208,0.485
Switzerland,Western Europe,7.571,1.566,1.079,0.816,0.653,0.204,0.413
Iceland,Western Europe,7.554,1.482,1.172,0.772,0.698,0.293,0.17
Netherlands,Western Europe,7.464,1.501,1.079,0.753,0.647,0.302,0.384
Norway,Western Europe,7.392,1.543,1.108,0.782,0.703,0.249,0.427
Sweden,Western Europe,7.363,1.478,1.062,0.763,0.685,0.244,0.448
Luxembourg,Western Europe,7.324,1.751,1.003,0.76,0.639,0.166,0.353
New Zealand,North America and ANZ,7.277,1.4,1.094,0.785,0.665,0.276,0.445
Austria,Western Europe,7.268,1.492,1.062,0.782,0.64,0.215,0.292
Australia,North America and ANZ,7.183,1.453,1.076,0.801,0.647,0.291,0.317
Israel,Middle East and North Africa,7.157,1.376,1.074,0.788,0.509,0.208,0.119
Germany,Western Europe,7.155,1.48,0.993,0.757,0.6,0.195,0.306
Canada,North America and ANZ,7.103,1.447,1.044,0.798,0.648,0.246,0.335
Ireland,Western Europe,7.085,1.644,1.092,0.753,0.606,0.238,0.367
Costa Rica,Latin America and Caribbean,7.069,1.134,0.966,0.722,0.673,0.105,0.083
United Kingdom,Western Europe,7.064,1.423,1.062,0.757,0.58,0.34,0.306
Czech Republic,Central and Eastern Europe,6.965,1.37,1.09,0.703,0.58,0.052,0.046
United States,North America and ANZ,6.951,1.533,1.03,0.621,0.554,0.252,0.154
Belgium,Western Europe,6.834,1.463,0.998,0.747,0.489,0.088,0.187
France,Western Europe,6.69,1.421,1.081,0.804,0.536,0.092,0.235
Bahrain,Middle East and North Africa,6.647,1.409,0.899,0.662,0.661,0.246,0.139
Malta,Western Europe,6.602,1.411,1.055,0.747,0.664,0.275,0.183
Taiwan Province of China,East Asia,6.584,1.48,0.982,0.665,0.49,0.142,0.139
United Arab Emirates,Middle East and North Africa,6.561,1.555,0.86,0.594,0.67,0.236,0.223
Saudi Arabia,Middle East and North Africa,6.494,1.435,0.964,0.571,0.603,0.09,0.163
Spain,Western Europe,6.491,1.375,1.057,0.826,0.462,0.135,0.124
Italy,Western Europe,6.483,1.393,0.94,0.798,0.379,0.133,0.047
Slovenia,Central and Eastern Europe,6.461,1.36,1.093,0.722,0.69,0.122,0.085
Guatemala,Latin America and Caribbean,6.435,0.845,0.79,0.519,0.638,0.163,0.105
Uruguay,Latin America and Caribbean,6.431,1.164,1.042,0.649,0.625,0.128,0.223
Singapore,Southeast Asia,6.377,1.695,1.019,0.897,0.664,0.176,0.547
Kosovo,Central and Eastern Europe,6.372,0.937,0.807,0.483,0.593,0.356,0.014
Slovakia,Central and Eastern Europe,6.331,1.304,1.066,0.653,0.468,0.107,0.018
Brazil,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514,0.142,0.117
Mexico,Latin America and Caribbean,6.317,1.126,0.83,0.634,0.585,0.092,0.089
Jamaica,Latin America and Caribbean,6.309,0.891,0.932,0.599,0.618,0.099,0.035
Lithuania,Central and Eastern Europe,6.255,1.35,1.065,0.612,0.476,0.056,0.073
Cyprus,Western Europe,6.223,1.377,0.765,0.801,0.464,0.178,0.061
Estonia,Central and Eastern Europe,6.189,1.344,1.079,0.64,0.641,0.119,0.263
Panama,Latin America and Caribbean,6.18,1.298,0.976,0.667,0.596,0.079,0.053
Uzbekistan,Commonwealth of Independent States,6.179,0.769,1.027,0.528,0.716,0.391,0.271
Chile,Latin America and Caribbean,6.172,1.2,0.946,0.678,0.438,0.159,0.07
Poland,Central and Eastern Europe,6.166,1.309,0.982,0.668,0.558,0.08,0.13
Kazakhstan,Commonwealth of Independent States,6.152,1.23,1.103,0.527,0.573,0.143,0.132
Romania,Central and Eastern Europe,6.14,1.275,0.832,0.595,0.564,0.045,0.001
Kuwait,Middle East and North Africa,6.106,1.461,0.857,0.58,0.591,0.12,0.13
Serbia,Central and Eastern Europe,6.078,1.101,0.924,0.634,0.482,0.189,0.066
El Salvador,Latin America and Caribbean,6.061,0.845,0.675,0.565,0.615,0.116,0.16
Mauritius,Sub-Saharan Africa,6.049,1.178,0.996,0.574,0.59,0.153,0.096
Latvia,Central and Eastern Europe,6.032,1.285,1.047,0.587,0.405,0.082,0.089
Colombia,Latin America and Caribbean,6.012,1.021,0.866,0.615,0.554,0.1,0.063
Hungary,Central and Eastern Europe,5.992,1.301,1.083,0.615,0.454,0.067,0.04
Thailand,Southeast Asia,5.985,1.107,0.957,0.596,0.611,0.375,0.028
Nicaragua,Latin America and Caribbean,5.972,0.693,0.904,0.604,0.553,0.201,0.176
Japan,East Asia,5.94,1.389,0.949,0.838,0.504,0.02,0.192
Argentina,Latin America and Caribbean,5.929,1.162,0.98,0.646,0.544,0.069,0.067
Portugal,Western Europe,5.929,1.323,0.939,0.76,0.621,0.029,0.033
Honduras,Latin America and Caribbean,5.919,0.703,0.787,0.593,0.578,0.241,0.083
Croatia,Central and Eastern Europe,5.882,1.251,1.039,0.703,0.453,0.111,0
Philippines,Southeast Asia,5.88,0.853,0.828,0.426,0.651,0.125,0.126
South Korea,East Asia,5.845,1.403,0.758,0.801,0.353,0.134,0.135
Peru,Latin America and Caribbean,5.84,0.986,0.833,0.623,0.536,0.087,0.031
Bosnia and Herzegovina,Central and Eastern Europe,5.813,1.032,0.919,0.618,0.395,0.261,0.005
Moldova,Central and Eastern Europe,5.766,0.985,0.888,0.542,0.536,0.137,0.013
Ecuador,Latin America and Caribbean,5.764,0.935,0.806,0.64,0.56,0.107,0.062
Kyrgyzstan,Commonwealth of Independent States,5.744,0.665,0.971,0.501,0.673,0.266,0.02
Greece,Western Europe,5.723,1.273,0.811,0.76,0.243,0,0.074
Bolivia,Latin America and Caribbean,5.716,0.842,0.782,0.486,0.6,0.138,0.064
Mongolia,East Asia,5.677,0.966,1.065,0.442,0.397,0.263,0.053
Paraguay,Latin America and Caribbean,5.653,0.983,0.97,0.549,0.602,0.206,0.037
Montenegro,Central and Eastern Europe,5.581,1.155,0.891,0.637,0.397,0.166,0.081
Dominican Republic,Latin America and Caribbean,5.545,1.106,0.879,0.555,0.581,0.101,0.144
North Cyprus,Western Europe,5.536,1.377,0.806,0.801,0.503,0.196,0.2
Belarus,Central and Eastern Europe,5.534,1.124,1.007,0.56,0.326,0.07,0.199
Russia,Central and Eastern Europe,5.477,1.241,0.992,0.511,0.409,0.115,0.06
Hong Kong S.A.R. of China,East Asia,5.477,1.525,0.841,0.893,0.408,0.232,0.342
Tajikistan,Commonwealth of Independent States,5.466,0.508,0.895,0.498,0.548,0.152,0.247
