country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Finland,Western Europe,7.821,1.892,1.258,0.775,0.736,0.109,0.534
Denmark,Western Europe,7.636,1.953,1.243,0.777,0.719,0.188,0.532
Iceland,Western Europe,7.557,1.936,1.32,0.803,0.718,0.27,0.191
Switzerland,Western Europe,7.512,2.026,1.226,0.822,0.677,0.147,0.461
Netherlands,Western Europe,7.415,1.945,1.206,0.787,0.651,0.271,0.419
Luxembourg,Western Europe,7.404,2.209,1.155,0.79,0.7,0.12,0.388
Sweden,Western Europe,7.384,1.92,1.204,0.803,0.724,0.218,0.512
Norway,Western Europe,7.365,1.997,1.239,0.786,0.728,0.217,0.474
Israel,Middle East and North Africa,7.364,1.826,1.221,0.818,0.568,0.155,0.143
New Zealand,North America and ANZ,7.2,1.852,1.235,0.752,0.68,0.245,0.483
Austria,Western Europe,7.163,1.931,1.165,0.774,0.623,0.193,0.329
Australia,North America and ANZ,7.162,1.9,1.203,0.772,0.676,0.258,0.341
Ireland,Western Europe,7.041,2.129,1.166,0.779,0.627,0.19,0.408
Germany,Western Europe,7.034,1.924,1.088,0.776,0.585,0.163,0.358
Canada,North America and ANZ,7.025,1.886,1.188,0.783,0.659,0.217,0.368
United States,North America and ANZ,6.977,1.982,1.182,0.628,0.574,0.22,0.177
United Kingdom,Western Europe,6.943,1.867,1.143,0.75,0.597,0.289,0.329
Czechia,Central and Eastern Europe,6.92,1.815,1.26,0.715,0.66,0.158,0.048
Belgium,Western Europe,6.805,1.907,1.106,0.764,0.492,0.049,0.204
France,Western Europe,6.687,1.863,1.219,0.808,0.567,0.07,0.266
Bahrain,Middle East and North Africa,6.647,1.854,1.029,0.625,0.693,0.199,0.155
Slovenia,Central and Eastern Europe,6.63,1.81,1.249,0.769,0.685,0.118,0.115
Costa Rica,Latin America and Caribbean,6.582,1.584,1.054,0.744,0.661,0.089,0.102
United Arab Emirates,Middle East and North Africa,6.576,1.998,0.98,0.633,0.702,0.204,0.25
Saudi Arabia,Middle East and North Africa,6.523,1.87,1.092,0.577,0.651,0.078,0.18
Taiwan Province of China,East Asia,6.512,1.897,1.095,0.733,0.542,0.075,0.168
Singapore,Southeast Asia,6.48,2.149,1.127,0.851,0.672,0.163,0.587
Romania,Central and Eastern Europe,6.477,1.719,1.006,0.655,0.605,0.039,0.006
Spain,Western Europe,6.476,1.808,1.211,0.808,0.505,0.101,0.149
Uruguay,Latin America and Caribbean,6.474,1.615,1.18,0.672,0.665,0.103,0.265
Italy,Western Europe,6.467,1.834,1.052,0.801,0.412,0.085,0.059
Kosovo,Central and Eastern Europe,6.455,1.362,0.949,0.569,0.599,0.309,0.035
Malta,Western Europe,6.447,1.838,1.169,0.789,0.679,0.174,0.166
