country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453
Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975
Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004
Canada,North America and ANZ,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329
Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
New Zealand,North America and ANZ,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904
Australia,North America and ANZ,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331
Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
Israel,Middle East and North Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728
Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348
United States,North America and ANZ,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868
Costa Rica,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547
Puerto Rico,Latin America and Caribbean,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275
Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551
Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166
Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248
Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754
Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329
Mexico,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355
Singapore,Southeast Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987
United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451
Panama,Latin America and Caribbean,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423
Argentina,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296
Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986
United Arab Emirates,Middle East and North Africa,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561
Uruguay,Latin America and Caribbean,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
Malta,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399
France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808
Thailand,Southeast Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833
Saudi Arabia,Middle East and North Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008
Taiwan Province of China,East Asia,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663
Qatar,Middle East and North Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049
Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
Algeria,Middle East and North Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.07044,0.16157
Guatemala,Latin America and Caribbean,6.324,0.83454,0.87119,0.54039,0.50379,0.28808,0.08701
Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692
Kuwait,Middle East and North Africa,6.239,1.61714,0.87758,0.63569,0.43166,0.15965,0.23669
Bahrain,Middle East and North Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772
Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241
Venezuela,Latin America and Caribbean,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304
Slovakia,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613
Malaysia,Southeast Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081
Nicaragua,Latin America and Caribbean,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292
Uzbekistan,Commonwealth of Independent States,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
Italy,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.16684,0.02556
Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.10074,0.18037
Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.23684,0.10771
Japan,East Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.10224,0.18985
Kazakhstan,Commonwealth of Independent States,5.919,1.22943,0.95544,0.57386,0.4052,0.15011,0.11132
Moldova,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
Russia,Central and Eastern Europe,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586
Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
South Korea,East Asia,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716
Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.21698,0.07746
Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.13942,0.17457
North Cyprus,Western Europe,5.771,1.31141,0.81826,0.84142,0.43596,0.26322,0.16578
Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
Peru,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292
Turkmenistan,Commonwealth of Independent States,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467
Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203
Libya,Middle East and North Africa,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339
Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.17445,0.0889
Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.27906,0.05228
Paraguay,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396
Romania,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
Estonia,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.08423,0.18519
Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.59469,0.43597,0.22245,0.04294
Croatia,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.18434,0.04002
Hong Kong S.A.R. of China,East Asia,5.458,1.5107,0.87021,0.95277,0.48079,0.40097,0.31647
Somalia,Sub-Saharan Africa,5.44,0,0.33613,0.11466,0.56778,0.27225,0.3118
Kosovo,Central and Eastern Europe,5.401,0.90145,0.66062,0.54,0.14396,0.27992,0.06547
Turkey,Middle East and North Africa,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348
Indonesia,Southeast Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.56521,0.00322
Jordan,Middle East and North Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.14262,0.13297
Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.0564,0.17914
Philippines,Southeast Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757
China,East Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.04959,0.02745
Bhutan,South Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.48546,0.1616
Kyrgyzstan,Commonwealth of Independent States,5.185,0.56044,0.95434,0.55449,0.40212,0.38432,0.04762
Serbia,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339
Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0.29889,0
Montenegro,Central and Eastern Europe,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721
Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.99496,0.57669,0.52259,0.21286,0.12372
Morocco,Middle East and North Africa,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404
Hungary,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.099,0.04472
Pakistan,South Asia,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388
Lebanon,Middle East and North Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.23693,0.03061
Portugal,Western Europe,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521
North Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.64738,0.27668,0.23507,0.07047
Vietnam,Southeast Asia,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556
Somaliland Region,Africa,5.057,0.25558,0.75862,0.33108,0.3913,0.51479,0.36794
Tunisia,Middle East and North Africa,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817
Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822,0,0.04127
