country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Finland,Western Europe,7.769,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,Western Europe,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Norway,Western Europe,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,Western Europe,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,Western Europe,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,Western Europe,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,Western Europe,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,North America and ANZ,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Canada,North America and ANZ,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,North America and ANZ,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,Middle East and North Africa,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,Western Europe,7.09,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,Western Europe,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Ireland,Western Europe,7.021,1.499,1.553,0.999,0.516,0.298,0.31
Germany,Western Europe,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21
United States,North America and ANZ,6.892,1.433,1.457,0.874,0.454,0.28,0.128
Czech Republic,Central and Eastern Europe,6.852,1.269,1.487,0.92,0.457,0.046,0.036
United Arab Emirates,Middle East and North Africa,6.825,1.503,1.31,0.825,0.598,0.262,0.182
Malta,Western Europe,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074,0.073
France,Western Europe,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan Province of China,East Asia,6.446,1.368,1.43,0.914,0.351,0.242,0.097
Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187,0.056
Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,Middle East and North Africa,6.375,1.403,1.357,0.795,0.439,0.08,0.132
Qatar,Middle East and North Africa,6.374,1.684,1.313,0.871,0.555,0.22,0.167
Spain,Western Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109,0.054
