target,x1,x2
2.0,5.37761813075,4.49677475523
2.0,7.54743673498,6.19543244324
2.0,-1.29414623807,6.01634032064
2.0,6.67469373421,5.66734773599
2.0,5.36255368304,7.81295706828
2.0,5.26392508098,6.86378622381
2.0,3.29175223643,6.4860784912
2.0,7.77920540071,9.68886547961
2.0,3.37604256199,4.64082411109
2.0,5.81239009653,4.9194411864
2.0,6.69684941999,3.80017276398
2.0,4.65729534148,5.27709790863
2.0,6.61647286782,4.8115371313
2.0,0.356576372409,8.70447008497
2.0,3.74449717272,7.4899981332
2.0,0.942253288265,3.96442906867
2.0,4.88134338472,8.08459505497
2.0,4.65048579067,6.78212905927
2.0,4.78383105953,5.7585631841
2.0,4.40362517114,7.34573308888
2.0,6.06757642003,1.37939271786
2.0,7.01223220565,3.08174446017
2.0,1.92803600266,5.10551994813
2.0,2.60003244648,6.99773290585
2.0,3.73893560243,4.15160108565
2.0,6.33475010894,7.25492613925
2.0,4.52827467229,5.06717647685
2.0,1.39768304264,0.471368398919
2.0,4.72272772957,6.20484670978
2.0,6.40674826867,4.570536736
2.0,0.280418816583,6.42786532267
2.0,5.74661979326,2.82322909415
2.0,6.37163677145,6.39428612555
2.0,5.03763557052,5.69715891612
2.0,5.26863648334,4.12152869398
2.0,3.97298162376,8.67586519736
2.0,2.51633772666,4.8014527914
2.0,6.11823949537,5.61866970643
2.0,8.07343836515,3.1664462576
2.0,6.22959381977,4.70500951558
2.0,-0.952082893433,6.37316489879
2.0,1.43024541257,4.51533324898
2.0,4.61642187084,5.12418028096
2.0,8.38956769711,4.33499185943
2.0,8.14315794394,5.43237878791
2.0,4.13417315933,5.49681165489
2.0,3.28648482931,3.01472006691
2.0,3.84682544586,4.90726797027
2.0,3.1538253174,4.9797510843
2.0,4.35127762403,3.94960635948
2.0,5.00859672199,3.77620005843
2.0,0.763310683334,6.2197687936
2.0,4.92778428289,5.12349063772
2.0,4.43779768994,6.11227266642
2.0,1.88828216096,1.50706937374
2.0,4.87750257698,5.07379814746
2.0,6.91679072684,6.69154149277
2.0,5.18784116927,6.03985398487
2.0,-3.23261309382,1.63470048161
2.0,1.50196109946,4.63655433756
2.0,2.65144782545,2.6057685051
2.0,6.56180528477,4.63899410489
2.0,5.00709967047,2.34755145506
2.0,3.59344102408,5.38359160814
2.0,2.64880514246,1.62068082103
2.0,3.38455783059,5.29423184067
